_Glon,_Glat,_RAJ2000,_DEJ2000,recno,Name,EPA,GPA,Source,SimbadName,MASH,_RA,_DE,α_min,α_max,α_rango
294.1331359,14.4501155,180.1811542,-47.5533722,324,Lo 6,150,140,DSS2,PN Lo 6,MASH,180.18115,-47.55337,0.6261570217440923,2.6320147599544477,2.0058577382103553
294.689461,4.7075596,177.573875,-57.1824722,325,NGC 3918,138,126,DSS2,NGC 3918,MASH,177.57387,-57.18247,0.9651489772962221,2.271820537169385,1.3066715598731629
294.9657088,-0.6947696,175.4058167,-62.4817861,326,He 2-72,101,87,DSS2,Hen 2-72,MASH,175.40582,-62.48179,0.3382070117439759,2.4887083850755207,2.150501373331545
296.6234673,-20.0421193,152.337125,-80.8585361,328,NGC 3195,13,155,CAM98,NGC 3195,MASH,152.33712,-80.85854,0.2735908803419706,2.882708340962534,2.6091174606205634
297.6870013,-1.6818946,180.8016667,-64.0613889,329,G297.6-01.6,90,79,MASH,PN G297.6-01.6,MASH,180.80167,-64.06139,1.2288265432101455,2.0149610452861255,0.78613450207598
298.2722865,-1.7206843,182.1059708,-64.2025889,330,He 2-76,83,75,DSS2,Hen 2-76,MASH,182.10597,-64.20259,0.21716770997225046,2.930009384735276,2.7128416747630255
298.3920415,-4.8550283,181.0617292,-67.3098806,331,NGC 4071,43,34,DSS2,NGC 4071,MASH,181.06173,-67.30988,0.6719421175530607,2.6027370253683846,1.930794907815324
298.6942712,-1.5690895,183.1166667,-64.1197222,332,G298.6-01.5,50,41,MASH,PN G298.6-01.5,MASH,183.11667,-64.11972,0.1659622857376109,3.0633004217684605,2.8973381360308497
298.7783693,-7.5362782,180.73125,-70.0158333,333,G298.7-07.5,158,147,MASH,PN G298.7-07.5,MASH,180.73125,-70.01583,1.0598742135410795,2.383301795875413,1.3234275823343336
299.0508473,18.4789813,187.7187417,-44.2377556,334,K 1-23,3,179,DSS2,PN K 1-23,MASH,187.71874,-44.23776,1.3481593889279786,2.679768473565547,1.3316090846375683
299.0296807,3.5151921,185.2529167,-59.1258333,335,G299.0+03.5,140,133,MASH,PN G299.0+03.5,MASH,185.25292,-59.12583,0.005484354287678455,2.5505275877284648,2.5450432334407864
299.493255,-4.1239685,184.1380667,-66.7625194,336,HaTr 1,131,124,DSS2,PN HaTr 1,MASH,184.13807,-66.76252,0.5376203474257953,2.5991731060785632,2.061552758652768
299.5147596,2.4684182,185.9731542,-60.2204444,337,He 2-82,162,157,DSS2,Hen 2-82,MASH,185.97315,-60.22044,1.0820535496029777,1.9838709065734768,0.901817356970499
299.8440574,3.736284,186.8702469,-58.9917564,338,Bl Cru,31,25,CAM98,Bl Cru,MASH,186.87025,-58.99176,1.5317854574382554,1.7998682154553263,0.2680827580170708
330.2550535,5.9260234,235.5555833,-47.6795361,339,Lo 9,82,120,DSS2,PN Lo 9,MASH,235.55558,-47.67954,1.137921010151397,3.0518170160429543,1.9138960058915573
330.6500637,-2.1253067,244.3101042,-53.5356639,340,He 2-153,41,86,DSS2,Hen 2-153,MASH,244.3101,-53.53566,0.3023252944501832,2.8279045912489384,2.5255792967987554
330.6386324,-3.6166441,246.0892375,-54.6007833,341,He 2-159,173,39,DSS2,Hen 2-159,MASH,246.08924,-54.60078,0.5733297725996236,2.363637087347241,1.7903073147476176
330.7007999,-2.0010229,244.2259167,-53.4111389,342,G330.7-02.0,95,139,MASH,PN G330.7-02.0,MASH,244.22592,-53.41114,0.10948293381651353,3.031216115702871,2.9217331818863572
330.985763,4.3906353,237.8325792,-48.4352583,343,Wray 16-189,72,112,DSS2,Wray 16-189,MASH,237.83258,-48.43526,0.9052416957704796,2.2704291699595296,1.36518747418905
331.3522952,1.6599525,240.97375,-50.2811111,345,G331.3+01.6,145,6,MASH,PN G331.3+01.6,MASH,240.97375,-50.28111,1.2070885603185062,2.074877618104171,0.8677890577856646
331.4483363,0.561974,242.245425,-51.0327056,346,He 2-145,113,156,DSS2,Hen 2-145,MASH,242.24542,-51.03271,0.5132629218164576,2.6777142278320087,2.1644513060155512
331.529391,-3.9021431,247.5002375,-54.1577778,347,He 2-165,36,83,DSS2,Hen 2-165,MASH,247.50024,-54.15778,0.27945344554009155,2.9687791258521754,2.6893256803120837
331.5429386,-2.7883138,246.1574417,-53.37615,348,He 2-161,48,94,DSS2,Hen 2-161,MASH,246.15744,-53.37615,1.2976912571055244,2.0927267022346623,0.7950354451291379
331.7274857,-1.0113399,244.3058,-51.9861972,349,Mz 3,10,55,DSS2,PN Mz 3,MASH,244.3058,-51.9862,0.22504447925523133,2.922101753404945,2.6970572741497136
332.0790363,-3.36126,247.4718958,-53.3876028,350,He 2-164,82,129,DSS2,Hen 2-164,MASH,247.4719,-53.3876,1.3170934589097651,2.490766863911416,1.1736734050016508
332.0172936,-4.318117,248.5854167,-54.0844444,351,G332.0-04.3,35,82,MASH,PN G332.0-04.3,MASH,248.58542,-54.08444,0.7780857299537105,2.548952402924807,1.7708666729710967
332.513969,-2.2172434,246.6008333,-52.2827778,352,G332.5-02.2,117,163,MASH,PN G332.5-02.2,MASH,246.60083,-52.28278,0.7083764381042544,2.983978484516061,2.2756020464118065
332.7952329,-16.4656352,267.9701458,-60.389425,353,HaTr 6,55,119,DSS2,PN HaTr 6,MASH,267.97015,-60.38942,1.0639800387600862,2.7893547678484505,1.7253747290883643
333.4290367,1.1871253,243.8334625,-49.2224333,354,He 2-152,150,14,DSS2,Hen 2-152,MASH,243.83346,-49.22243,1.1874368082186164,1.8845957582798096,0.6971589500611932
333.4870094,-4.0569616,249.9066042,-52.8203472,355,HaTr 3,157,26,DSS2,PN HaTr 3,MASH,249.9066,-52.82035,1.4841931943676765,2.406045429226059,0.9218522348583824
